c1,c2,R.beta.Bias,R.beta.sample.std,R.beta.est.std,R.beta.MSE,R.Sn.Size.Power,R.beta.std.SE,R.alpha1.Bias,R.alpha1.sample.std,R.alpha1.est.std,R.alpha1.MSE,R.Tn.Size.Power,R.alpha.std.SE,O.beta.Bias,O.beta.sample.std,O.beta.est.std,O.beta.MSE,O.Sn.Size.Power,O.beta.std.SE,O.alpha1.Bias,O.alpha1.sample.std,O.alpha1.est.std,O.alpha1.MSE,O.Tn.Size.Power,O.alpha.std.SE,Z.beta.Bias,Z.beta.sample.std,Z.beta.est.std,Z.beta.MSE,Z.Sn.Size.Power,Z.beta.std.SE,Z.alpha1.Bias,Z.alpha1.sample.std,Z.alpha1.est.std,Z.alpha1.MSE,Z.Tn.Size.Power,Z.alpha.std.SE
0.3,0.5,-0.022970734,0.286677993,0.312633543,0.082711926,0.354,0.025025787,0.003500611,0.075616699,0.073372,0.005730139,0.938,0.007416169,-0.02382611,0.285633868,0.312406746,0.08215439,0.356,0.025054655,0.004355988,0.072979523,0.074650067,0.005344985,1,0.007437849,0.393832056,0.251440162,0.29390333,0.218325844,0.032,0.031634747,-0.413489278,0.087269059,0.095283892,0.178589272,0.14,0.016268293
0.4,0.5,-0.003906014,0.296769292,0.313857479,0.08808727,0.556,0.024427661,-0.004451136,0.078759282,0.076892505,0.006222837,0.932,0.008622568,-0.004950323,0.297417141,0.313705223,0.088481461,0.558,0.024457953,-0.003406827,0.075695531,0.077921744,0.00574142,1,0.008752453,0.445788519,0.270223343,0.296873963,0.271748059,0.095,0.030105127,-0.454364377,0.078435944,0.087289844,0.212599185,0.07,0.014785044
0.5,0.5,-0.017908325,0.282259729,0.315188282,0.079991263,0.758,0.024933508,0.006724314,0.082275676,0.080496289,0.006814503,0.908,0.008701986,-0.019634112,0.28084735,0.31499728,0.079260733,0.77,0.024944877,0.0084501,0.078216317,0.08191619,0.006189196,1,0.008623227,0.475392122,0.26391378,0.298343208,0.295648153,0.156,0.030506521,-0.486762359,0.069746779,0.082097958,0.241802208,0.0344,0.014322805
0.6,0.5,-0.019421093,0.286703577,0.316028824,0.08257612,0.892,0.024799129,0.004554365,0.087587531,0.0850375,0.007692318,0.895,0.009514139,-0.021690056,0.285361579,0.315885138,0.08190169,0.898,0.024804505,0.006823329,0.083100425,0.086528284,0.006952238,1,0.009455814,0.492418581,0.271575885,0.299453954,0.31622952,0.338,0.029974613,-0.5072753,0.065150949,0.076756757,0.261572877,0.014,0.013395781
0.7,0.5,-0.019321741,0.288555879,0.317439743,0.083637825,0.952,0.024672873,0.004455013,0.093111743,0.090168404,0.008689644,0.88,0.010314056,-0.021871083,0.287111084,0.317337637,0.082911119,0.952,0.024677612,0.007004356,0.088029099,0.091689145,0.007798183,1,0.010264601,0.507669131,0.276146142,0.30085786,0.333984638,0.552,0.029445972,-0.523034853,0.060409899,0.072107988,0.277214814,0.02,0.012564417
0.8,0.5,-0.002711454,0.303030864,0.319393879,0.091835057,0.984,0.024395271,-0.004971586,0.099586263,0.096040418,0.00994214,0.852,0.01183329,-0.004033156,0.303794609,0.319359335,0.092307431,0.984,0.024413871,-0.003649884,0.09592917,0.097089149,0.009215727,0.998,0.011910816,0.523148257,0.291810242,0.303053644,0.358837316,0.704,0.028444719,-0.530941038,0.057864828,0.067306633,0.285246724,0.04,0.011403728
0.9,0.5,-0.015171165,0.28811198,0.321692068,0.083238677,1,0.024537945,0.009511227,0.102237849,0.101565079,0.010543041,0.876,0.011740051,-0.018887802,0.285340927,0.321709747,0.081776193,1,0.024548297,0.013227864,0.097375853,0.103242506,0.009657033,0.996,0.01172578,0.535396518,0.276685663,0.304425389,0.363204388,0.868,0.028303815,-0.541674815,0.052539568,0.064501146,0.296172011,0.036,0.011013914
1,0.5,-0.019141692,0.295758249,0.32290063,0.087839346,1,0.024245254,0.004274965,0.110925427,0.108025757,0.012322726,1,0.012788909,-0.022414164,0.293801176,0.322973345,0.086821526,1,0.024240402,0.007547437,0.105646454,0.109615257,0.011218137,1,0.012852428,0.525941335,0.285254454,0.304715614,0.357984391,0.944,0.02776988,-0.54134748,0.049679164,0.06145688,0.295525114,0.042,0.010263781
0.5,-1,-0.019731017,0.285099551,0.314834079,0.081671067,0.76,0.024899563,0.004864289,0.082533309,0.080509846,0.006835408,1,0.008741073,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,-0.090714879,0.211383757,0.298026443,0.052912282,0.928,0.031139402,0.075763411,0.174887019,0.082015778,0.036325564,1,0.016543779
0.5,-0.9,-0.019731017,0.285099551,0.314834079,0.081671067,0.76,0.024899563,0.004864289,0.082533309,0.080509846,0.006835408,1,0.008741073,-0.021509029,0.283860251,0.314650952,0.08103928,0.772,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,-0.090650213,0.211467262,0.298028039,0.052935864,0.928,0.031137242,0.075698876,0.174646303,0.082013061,0.036231651,0.996,0.0165407
0.5,-0.8,-0.009348674,0.293603607,0.315174021,0.086290475,0.736,0.024291923,-0.001922785,0.082522971,0.080789027,0.006813738,0.996,0.009309804,-0.010037202,0.294214884,0.315043702,0.086663143,0.734,0.024315546,-0.001234256,0.079105361,0.081887167,0.006259181,1,0.009408133,-0.085891602,0.211417371,0.298702481,0.052074672,0.922,0.030178843,0.074772598,0.183319914,0.081533409,0.039197132,0.998,0.015897574
0.5,-0.7,-0.022482115,0.28835233,0.314388951,0.083652512,0.762,0.024850794,0.003011993,0.082751346,0.080560279,0.006856857,0.994,0.008774021,-0.023852675,0.287569213,0.314217506,0.083265003,0.768,0.024873507,0.004382553,0.079463025,0.0818981,0.006333579,1,0.008773278,-0.091526607,0.212054147,0.297640578,0.053344081,0.928,0.031148714,0.071994195,0.175328819,0.081891157,0.035923359,0.992,0.016464202
0.5,-0.6,-0.019774469,0.285025886,0.314833389,0.081630786,0.76,0.024899822,0.004907742,0.082453465,0.080511509,0.00682266,0.992,0.008742562,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,1,0.008690207,-0.088287963,0.213392276,0.298085148,0.053331028,0.926,0.031090027,0.073336725,0.169272446,0.081895267,0.034031436,0.986,0.016392123
0.5,-0.5,-0.022563428,0.288435063,0.314390826,0.083703894,0.762,0.02484789,0.003093306,0.082803569,0.080564366,0.006865999,0.986,0.008775058,-0.023852675,0.287569213,0.314217506,0.083265003,0.768,0.024873507,0.004382553,0.079463025,0.0818981,0.006333579,1,0.008773278,-0.086001653,0.216502991,0.297756014,0.054269829,0.922,0.031066445,0.066467975,0.165080775,0.081650323,0.031669654,0.956,0.016244874
0.5,-0.4,-0.009515606,0.293599539,0.315173615,0.086291236,0.736,0.024291926,-0.001755853,0.082610082,0.080804951,0.006827509,0.98,0.009298778,-0.010037202,0.294214884,0.315043702,0.086663143,0.734,0.024315546,-0.001234256,0.079105361,0.081887167,0.006259181,0.998,0.009408133,-0.068109275,0.226225126,0.299038488,0.055816681,0.898,0.030029824,0.056982703,0.156051101,0.080808421,0.027598974,0.862,0.015393053
0.5,-0.3,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,0.932,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.77,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,0.942,0.008690207,-0.055444863,0.233644731,0.29867146,0.057663993,0.886,0.030848527,0.040487058,0.132799548,0.080666269,0.019274922,0.77,0.015786126
0.5,-0.2,-0.020015313,0.284986287,0.314833094,0.081617796,0.76,0.024899934,0.005148585,0.082540386,0.080531836,0.006839423,0.658,0.008729063,-0.021509029,0.283860251,0.314650952,0.08103928,0.768,0.024916187,0.006642301,0.078798436,0.08190815,0.006253314,0.672,0.008690207,-0.02101487,0.247476285,0.299156073,0.061686137,0.852,0.030758392,0.006055482,0.110523212,0.07965434,0.012252049,0.592,0.015572183
0.5,-0.1,-0.00947134,0.293565274,0.31517522,0.086270277,0.736,0.024292416,-0.001800119,0.082712368,0.080790894,0.006844576,0.214,0.009294623,-0.010037202,0.294214884,0.315043702,0.086663143,0.734,0.024315546,-0.001234256,0.079105361,0.081887167,0.006259181,0.212,0.009408133,0.033269882,0.267234974,0.300348489,0.072521416,0.754,0.029719804,-0.044425494,0.089570329,0.07800178,0.009996468,0.42,0.014635079
